subj_id,subjcode,electrode,qual_col,row,Name,TextResp,isCorrect,Timing_1,Confidence
R_0NWkLPKVngfskaV,WFM103,2,NameResp_TEXT(15),15,boot,doorway,0,2.513,2.0
R_0NWkLPKVngfskaV,WFM103,2,NameResp_TEXT(16),16,coffeemug,lobster,0,1.93,2.0
R_0NWkLPKVngfskaV,WFM103,2,NameResp_TEXT(17),17,armchair,cow,0,1.961,4.0
R_0NWkLPKVngfskaV,WFM103,2,NameResp_TEXT(18),18,guitar,waves,0,3.151,5.0
R_0NWkLPKVngfskaV,WFM103,2,NameResp_TEXT(19),19,cat,clown,0,1.869,6.0
R_0NWkLPKVngfskaV,WFM103,2,NameResp_TEXT(20),20,bowtie,bow tie,0,1.639,8.0
R_0NWkLPKVngfskaV,WFM103,2,NameResp_TEXT(21),21,knife,goose,0,2.894,2.0
R_0NWkLPKVngfskaV,WFM103,2,NameResp_TEXT(22),22,binoculars,,0,1.715,
R_0NWkLPKVngfskaV,WFM103,2,NameResp_TEXT(23),23,rollerblades,skateboarder,0,2.091,5.0
R_0NWkLPKVngfskaV,WFM103,2,NameResp_TEXT(24),24,leopard,blowfish,0,4.17,5.0
R_0NWkLPKVngfskaV,WFM103,2,NameResp_TEXT(25),25,handbag,handbag,1,1.758,8.0
R_0NWkLPKVngfskaV,WFM103,2,NameResp_TEXT(26),26,motorcycle,,0,2.807,
R_0NWkLPKVngfskaV,WFM103,2,NameResp_TEXT(27),27,lantern,lantern,1,1.406,8.0
R_0NWkLPKVngfskaV,WFM103,2,NameResp_TEXT(28),28,bike,bike,1,1.246,8.0
R_0NWkLPKVngfskaV,WFM103,2,NameResp_TEXT(29),29,cheesegrater,snow,0,1.7380000000000002,8.0
R_0NWkLPKVngfskaV,WFM103,2,NameResp_TEXT(30),30,desk,farm,0,1.521,5.0
R_0NWkLPKVngfskaV,WFM103,2,NameResp_TEXT(31),31,bird,,0,1.364,
R_0NWkLPKVngfskaV,WFM103,2,NameResp_TEXT(32),32,apple,,0,3.119,
R_0NWkLPKVngfskaV,WFM103,2,NameResp_TEXT(33),33,lock,camera,0,1.699,6.0
R_0NWkLPKVngfskaV,WFM103,2,NameResp_TEXT(34),34,car,car,1,2.071,7.0
R_0NWkLPKVngfskaV,WFM103,2,NameResp_TEXT(35),35,crib,crib,1,1.909,8.0
R_0NWkLPKVngfskaV,WFM103,2,NameResp_TEXT(36),36,camcoder,,0,2.793,
R_0NWkLPKVngfskaV,WFM103,2,NameResp_TEXT(37),37,trophy,two dogs,0,2.004,5.0
R_0NWkLPKVngfskaV,WFM103,2,NameResp_TEXT(38),38,calculator,desk,0,1.948,5.0
R_0NWkLPKVngfskaV,WFM103,2,NameResp_TEXT(39),39,tennisracket,group of people,0,2.307,2.0
R_0NWkLPKVngfskaV,WFM103,2,NameResp_TEXT(40),40,butterfly,butterfly,1,1.4409999999999998,6.0
R_0NWkLPKVngfskaV,WFM103,2,NameResp_TEXT(41),41,stapler,,0,1.963,
R_0NWkLPKVngfskaV,WFM103,2,NameResp_TEXT(42),42,sodacan,,0,1.793,
R_0NWkLPKVngfskaV,WFM103,2,NameResp_TEXT(43),43,palmtree,rainforest,0,2.8560000000000003,5.0
R_0NWkLPKVngfskaV,WFM103,2,NameResp_TEXT(44),44,gift,dog,0,1.746,5.0
R_0NWkLPKVngfskaV,WFM103,2,NameResp_TEXT(45),45,bucket,stove,0,2.169,2.0
R_0NWkLPKVngfskaV,WFM103,2,NameResp_TEXT(46),46,trumpet,trumpet,1,2.018,8.0
R_0NWkLPKVngfskaV,WFM103,2,NameResp_TEXT(47),47,bill,money,0,1.548,8.0
R_0NWkLPKVngfskaV,WFM103,2,NameResp_TEXT(48),48,fish,,0,2.393,
R_0NWkLPKVngfskaV,WFM103,2,NameResp_TEXT(49),49,bell,dog,0,2.532,8.0
R_0NWkLPKVngfskaV,WFM103,2,NameResp_TEXT(50),50,cheese,cheese,1,1.61,2.0
R_0NWkLPKVngfskaV,WFM103,2,NameResp_TEXT(51),51,turtle,,0,4.526,
R_0NWkLPKVngfskaV,WFM103,2,NameResp_TEXT(52),52,axe,hatchet,0,1.928,8.0
R_0NWkLPKVngfskaV,WFM103,2,NameResp_TEXT(53),53,handgun,,0,2.3480000000000003,
R_0NWkLPKVngfskaV,WFM103,2,NameResp_TEXT(54),54,dog,bear,0,2.419,7.0
R_0NWkLPKVngfskaV,WFM103,2,NameResp_TEXT(55),55,basket,stove,0,2.174,2.0
R_0NWkLPKVngfskaV,WFM103,2,NameResp_TEXT(56),56,phone,band,0,1.629,2.0
R_0NWkLPKVngfskaV,WFM103,2,NameResp_TEXT(57),57,teddybear,,0,2.628,
R_0NWkLPKVngfskaV,WFM103,2,NameResp_TEXT(58),58,shoe,face,0,,
R_0NWkLPKVngfskaV,WFM103,2,NameResp_TEXT(59),59,bottle,dog,0,1.881,8.0
R_0NWkLPKVngfskaV,WFM103,2,NameResp_TEXT(60),60,rabbit,rabbit,1,2.127,8.0
R_0NWkLPKVngfskaV,WFM103,2,NameResp_TEXT(61),61,lamp,,0,3.167,
R_0NWkLPKVngfskaV,WFM103,2,NameResp_TEXT(62),62,key,tower,0,1.913,4.0
R_0NWkLPKVngfskaV,WFM103,2,NameResp_TEXT(63),63,scissors,scissors,1,2.893,6.0
R_0NWkLPKVngfskaV,WFM103,2,NameResp_TEXT(64),64,candle,band members,0,3.861,2.0
R_0NWkLPKVngfskaV,WFM103,2,NameResp_TEXT(65),65,watch,band,0,1.6230000000000002,8.0
R_0NWkLPKVngfskaV,WFM103,2,NameResp_TEXT(66),66,flashlight,flashlight,1,1.912,5.0
R_0NWkLPKVngfskaV,WFM103,2,NameResp_TEXT(67),67,fan,,0,3.202,
R_0NWkLPKVngfskaV,WFM103,2,NameResp_TEXT(68),68,wineglass,KISS members,0,2.476,5.0
R_0NWkLPKVngfskaV,WFM103,2,NameResp_TEXT(69),69,microscope,microscope,1,2.535,8.0
R_0NWkLPKVngfskaV,WFM103,2,NameResp_TEXT(70),70,clock,clock,1,1.6269999999999998,8.0
R_0NWkLPKVngfskaV,WFM103,2,NameResp_TEXT(71),71,lawnmower,band members,0,1.884,6.0
R_2tvsWbcRX5R84ap,WFM105,2,NameResp_TEXT(1),1,pipe,,0,8.85,
R_2tvsWbcRX5R84ap,WFM105,2,NameResp_TEXT(2),2,train,titanic,0,5.602,5.0
R_2tvsWbcRX5R84ap,WFM105,2,NameResp_TEXT(3),3,balloon,balloon,1,5.797999999999999,5.0
R_2tvsWbcRX5R84ap,WFM105,2,NameResp_TEXT(4),4,backpack,backpack,1,2.8760000000000003,5.0
R_2tvsWbcRX5R84ap,WFM105,2,NameResp_TEXT(5),5,headphones,city overview,0,3.562,5.0
R_2tvsWbcRX5R84ap,WFM105,2,NameResp_TEXT(6),6,stroller,,0,22.209,
R_2tvsWbcRX5R84ap,WFM105,2,NameResp_TEXT(7),7,hammer,bat,0,6.654,5.0
R_2tvsWbcRX5R84ap,WFM105,2,NameResp_TEXT(8),8,camera,camera,1,1.607,6.0
R_2tvsWbcRX5R84ap,WFM105,2,NameResp_TEXT(9),9,airplane,,0,58.354,
R_2tvsWbcRX5R84ap,WFM105,2,NameResp_TEXT(10),10,socks,,0,12.782,
R_2tvsWbcRX5R84ap,WFM105,2,NameResp_TEXT(11),11,glove,,0,9.102,
R_2tvsWbcRX5R84ap,WFM105,2,NameResp_TEXT(12),12,cake,sun,0,4.16,2.0
R_2tvsWbcRX5R84ap,WFM105,2,NameResp_TEXT(13),13,hairbrush,,0,4.305,
R_2tvsWbcRX5R84ap,WFM105,2,NameResp_TEXT(14),14,bed,bed,1,1.545,7.0
R_2tvsWbcRX5R84ap,WFM105,2,NameResp_TEXT(15),15,boot,priest,0,4.249,5.0
R_2tvsWbcRX5R84ap,WFM105,2,NameResp_TEXT(16),16,coffeemug,mug,0,4.555,4.0
R_2tvsWbcRX5R84ap,WFM105,2,NameResp_TEXT(17),17,armchair,fish,0,3.626,3.0
R_2tvsWbcRX5R84ap,WFM105,2,NameResp_TEXT(18),18,guitar,birds,0,10.717,3.0
R_2tvsWbcRX5R84ap,WFM105,2,NameResp_TEXT(19),19,cat,hand,0,7.164,4.0
R_2tvsWbcRX5R84ap,WFM105,2,NameResp_TEXT(20),20,bowtie,,0,16.805999999999994,
R_2tvsWbcRX5R84ap,WFM105,2,NameResp_TEXT(21),21,knife,rocket,0,5.282,4.0
R_2tvsWbcRX5R84ap,WFM105,2,NameResp_TEXT(22),22,binoculars,gun,0,3.034,4.0
R_2tvsWbcRX5R84ap,WFM105,2,NameResp_TEXT(23),23,rollerblades,fire,0,5.9110000000000005,4.0
R_2tvsWbcRX5R84ap,WFM105,2,NameResp_TEXT(24),24,leopard,field,0,9.287,3.0
R_2tvsWbcRX5R84ap,WFM105,2,NameResp_TEXT(25),25,handbag,car,0,2.364,5.0
R_2tvsWbcRX5R84ap,WFM105,2,NameResp_TEXT(26),26,motorcycle,,0,10.970999999999998,
R_2tvsWbcRX5R84ap,WFM105,2,NameResp_TEXT(27),27,lantern,lantern,1,1.975,6.0
R_2tvsWbcRX5R84ap,WFM105,2,NameResp_TEXT(28),28,bike,bicycle,0,1.853,6.0
R_2tvsWbcRX5R84ap,WFM105,2,NameResp_TEXT(29),29,cheesegrater,church,0,6.311,3.0
R_2tvsWbcRX5R84ap,WFM105,2,NameResp_TEXT(30),30,desk,hut,0,3.019,4.0
R_2tvsWbcRX5R84ap,WFM105,2,NameResp_TEXT(31),31,bird,,0,5.185,
