subj_id,qual_col,Timing_1,row,Name
R_d6Dq6Kyn36MTAJ7,Timing_1(3),11.265999999999998,3,balloon
R_3jv8dkv5pkIe4f3,Timing_1(3),6.376,3,balloon
R_9NNGTs03HOOrLhz,Timing_1(3),2.59,3,balloon
R_9QAIH8o5XKYkAFD,Timing_1(3),2.4659999999999997,3,balloon
R_8hQIw8oM3sZtlUV,Timing_1(3),4.227,3,balloon
R_dbuBKRXlnjouSRD,Timing_1(3),2.464,3,balloon
R_81i04UQTtFxOXlz,Timing_1(3),7.332000000000001,3,balloon
R_aflUaQ1v901DTZb,Timing_1(3),2.792,3,balloon
R_8cU5NCG2ysTIeFf,Timing_1(3),3.092,3,balloon
R_9movxfJr3JHx4c5,Timing_1(3),1.849,3,balloon
R_6zZuvVsaXiYicmh,Timing_1(3),2.0469999999999997,3,balloon
R_7Os34FuyUOKUtAV,Timing_1(3),1.9369999999999998,3,balloon
R_6tIMcOQsORkQnuB,Timing_1(3),5.33,3,balloon
R_e9a4GNsvoZJ49mZ,Timing_1(3),2.6,3,balloon
R_cAPsFbVcU6FKEpT,Timing_1(3),2.479,3,balloon
R_cO0dBs5ofX0BOpT,Timing_1(3),1.9040000000000001,3,balloon
R_6Yb3oRlkWUQ0xkF,Timing_1(3),3.4739999999999998,3,balloon
R_5A3PjLiZbWfA6Tb,Timing_1(3),5.372999999999999,3,balloon
R_0cuIBoqJYSnYnLT,Timing_1(3),1.7990000000000002,3,balloon
R_9KSFfd62afsuieF,Timing_1(3),3.5469999999999997,3,balloon
R_02GRIQd5MDRenPf,Timing_1(3),3.5789999999999997,3,balloon
R_bjv98vU4STp6zQx,Timing_1(3),3.8989999999999996,3,balloon
R_9KB1XzOy6rP7O1D,Timing_1(3),7.551,3,balloon
R_eX2Q9p9ZqgsYVLv,Timing_1(3),8.374,3,balloon
R_eDMsuefXH4Nvbhz,Timing_1(3),,3,balloon
R_cGTSCS88UP99f0x,Timing_1(3),,3,balloon
