subj_id,qual_col,Confidence,row,Name
R_6ujqTETwTzRExX7,Confidence(14),5.0,14,bed
R_1NfgfYV1GvFsWiN,Confidence(14),,14,bed
R_0TiNGME0OVqJO3H,Confidence(14),6.0,14,bed
R_0ih7r0MXsn7mCSV,Confidence(14),,14,bed
R_aWcEn0nidpymQER,Confidence(14),3.0,14,bed
R_9FZPEV6r7ezLOSN,Confidence(14),5.0,14,bed
R_6zhc96D1g2EpM2h,Confidence(14),8.0,14,bed
R_2a6HPCAFPrB4mIR,Confidence(14),,14,bed
R_8nQqGUmR9MT1CTP,Confidence(15),3.0,15,boot
R_0NWkLPKVngfskaV,Confidence(15),2.0,15,boot
R_2tvsWbcRX5R84ap,Confidence(15),5.0,15,boot
R_1TCKelAGYh94Ppr,Confidence(15),,15,boot
R_5uoQgdmI1psnW97,Confidence(15),,15,boot
R_2aVo1rAUKgNJ8VL,Confidence(15),,15,boot
R_03dyKKqahwimd1z,Confidence(15),,15,boot
R_4I5pqYdhVgOKFKd,Confidence(15),3.0,15,boot
R_1EWCq1k7UFauhNj,Confidence(15),,15,boot
R_81xh6ldt0VxOPHL,Confidence(15),,15,boot
R_9KLkobZ9kYZSzYh,Confidence(15),7.0,15,boot
R_4T9SzDwjzOtlmrX,Confidence(15),,15,boot
R_eFBfDt4acLjjVQh,Confidence(15),4.0,15,boot
R_d6Dq6Kyn36MTAJ7,Confidence(15),,15,boot
R_3jv8dkv5pkIe4f3,Confidence(15),5.0,15,boot
R_9NNGTs03HOOrLhz,Confidence(15),5.0,15,boot
R_9QAIH8o5XKYkAFD,Confidence(15),,15,boot
R_8hQIw8oM3sZtlUV,Confidence(15),,15,boot
R_dbuBKRXlnjouSRD,Confidence(15),5.0,15,boot
R_81i04UQTtFxOXlz,Confidence(15),7.0,15,boot
R_aflUaQ1v901DTZb,Confidence(15),5.0,15,boot
R_8cU5NCG2ysTIeFf,Confidence(15),5.0,15,boot
R_9movxfJr3JHx4c5,Confidence(15),4.0,15,boot
R_6zZuvVsaXiYicmh,Confidence(15),,15,boot
R_7Os34FuyUOKUtAV,Confidence(15),,15,boot
R_6tIMcOQsORkQnuB,Confidence(15),5.0,15,boot
R_e9a4GNsvoZJ49mZ,Confidence(15),3.0,15,boot
R_cAPsFbVcU6FKEpT,Confidence(15),2.0,15,boot
R_cO0dBs5ofX0BOpT,Confidence(15),2.0,15,boot
R_6Yb3oRlkWUQ0xkF,Confidence(15),5.0,15,boot
R_5A3PjLiZbWfA6Tb,Confidence(15),,15,boot
R_0cuIBoqJYSnYnLT,Confidence(15),3.0,15,boot
R_9KSFfd62afsuieF,Confidence(15),3.0,15,boot
R_02GRIQd5MDRenPf,Confidence(15),2.0,15,boot
R_bjv98vU4STp6zQx,Confidence(15),5.0,15,boot
R_9KB1XzOy6rP7O1D,Confidence(15),3.0,15,boot
R_eX2Q9p9ZqgsYVLv,Confidence(15),8.0,15,boot
R_eDMsuefXH4Nvbhz,Confidence(15),,15,boot
R_cGTSCS88UP99f0x,Confidence(15),6.0,15,boot
R_6ujqTETwTzRExX7,Confidence(15),4.0,15,boot
R_1NfgfYV1GvFsWiN,Confidence(15),,15,boot
R_0TiNGME0OVqJO3H,Confidence(15),,15,boot
R_0ih7r0MXsn7mCSV,Confidence(15),8.0,15,boot
R_aWcEn0nidpymQER,Confidence(15),2.0,15,boot
R_9FZPEV6r7ezLOSN,Confidence(15),6.0,15,boot
R_6zhc96D1g2EpM2h,Confidence(15),6.0,15,boot
R_2a6HPCAFPrB4mIR,Confidence(15),,15,boot
R_8nQqGUmR9MT1CTP,Confidence(16),2.0,16,coffeemug
R_0NWkLPKVngfskaV,Confidence(16),2.0,16,coffeemug
R_2tvsWbcRX5R84ap,Confidence(16),4.0,16,coffeemug
R_1TCKelAGYh94Ppr,Confidence(16),,16,coffeemug
R_5uoQgdmI1psnW97,Confidence(16),4.0,16,coffeemug
R_2aVo1rAUKgNJ8VL,Confidence(16),,16,coffeemug
R_03dyKKqahwimd1z,Confidence(16),7.0,16,coffeemug
R_4I5pqYdhVgOKFKd,Confidence(16),,16,coffeemug
R_1EWCq1k7UFauhNj,Confidence(16),,16,coffeemug
R_81xh6ldt0VxOPHL,Confidence(16),5.0,16,coffeemug
R_9KLkobZ9kYZSzYh,Confidence(16),,16,coffeemug
R_4T9SzDwjzOtlmrX,Confidence(16),3.0,16,coffeemug
R_eFBfDt4acLjjVQh,Confidence(16),,16,coffeemug
R_d6Dq6Kyn36MTAJ7,Confidence(16),,16,coffeemug
R_3jv8dkv5pkIe4f3,Confidence(16),5.0,16,coffeemug
R_9NNGTs03HOOrLhz,Confidence(16),5.0,16,coffeemug
R_9QAIH8o5XKYkAFD,Confidence(16),,16,coffeemug
R_8hQIw8oM3sZtlUV,Confidence(16),,16,coffeemug
R_dbuBKRXlnjouSRD,Confidence(16),5.0,16,coffeemug
R_81i04UQTtFxOXlz,Confidence(16),6.0,16,coffeemug
R_aflUaQ1v901DTZb,Confidence(16),,16,coffeemug
R_8cU5NCG2ysTIeFf,Confidence(16),5.0,16,coffeemug
R_9movxfJr3JHx4c5,Confidence(16),2.0,16,coffeemug
R_6zZuvVsaXiYicmh,Confidence(16),6.0,16,coffeemug
R_7Os34FuyUOKUtAV,Confidence(16),,16,coffeemug
R_6tIMcOQsORkQnuB,Confidence(16),,16,coffeemug
R_e9a4GNsvoZJ49mZ,Confidence(16),2.0,16,coffeemug
R_cAPsFbVcU6FKEpT,Confidence(16),3.0,16,coffeemug
R_cO0dBs5ofX0BOpT,Confidence(16),,16,coffeemug
R_6Yb3oRlkWUQ0xkF,Confidence(16),5.0,16,coffeemug
R_5A3PjLiZbWfA6Tb,Confidence(16),,16,coffeemug
R_0cuIBoqJYSnYnLT,Confidence(16),,16,coffeemug
R_9KSFfd62afsuieF,Confidence(16),2.0,16,coffeemug
R_02GRIQd5MDRenPf,Confidence(16),2.0,16,coffeemug
R_bjv98vU4STp6zQx,Confidence(16),,16,coffeemug
R_9KB1XzOy6rP7O1D,Confidence(16),,16,coffeemug
R_eX2Q9p9ZqgsYVLv,Confidence(16),,16,coffeemug
R_eDMsuefXH4Nvbhz,Confidence(16),,16,coffeemug
R_cGTSCS88UP99f0x,Confidence(16),3.0,16,coffeemug
R_6ujqTETwTzRExX7,Confidence(16),,16,coffeemug
R_1NfgfYV1GvFsWiN,Confidence(16),,16,coffeemug
R_0TiNGME0OVqJO3H,Confidence(16),,16,coffeemug
R_0ih7r0MXsn7mCSV,Confidence(16),5.0,16,coffeemug
R_aWcEn0nidpymQER,Confidence(16),3.0,16,coffeemug
R_9FZPEV6r7ezLOSN,Confidence(16),,16,coffeemug
R_6zhc96D1g2EpM2h,Confidence(16),,16,coffeemug
R_2a6HPCAFPrB4mIR,Confidence(16),,16,coffeemug
R_8nQqGUmR9MT1CTP,Confidence(17),4.0,17,armchair
R_0NWkLPKVngfskaV,Confidence(17),4.0,17,armchair
R_2tvsWbcRX5R84ap,Confidence(17),3.0,17,armchair
R_1TCKelAGYh94Ppr,Confidence(17),,17,armchair
R_5uoQgdmI1psnW97,Confidence(17),4.0,17,armchair
R_2aVo1rAUKgNJ8VL,Confidence(17),,17,armchair
R_03dyKKqahwimd1z,Confidence(17),,17,armchair
R_4I5pqYdhVgOKFKd,Confidence(17),,17,armchair
R_1EWCq1k7UFauhNj,Confidence(17),,17,armchair
R_81xh6ldt0VxOPHL,Confidence(17),2.0,17,armchair
R_9KLkobZ9kYZSzYh,Confidence(17),,17,armchair
R_4T9SzDwjzOtlmrX,Confidence(17),3.0,17,armchair
R_eFBfDt4acLjjVQh,Confidence(17),,17,armchair
R_d6Dq6Kyn36MTAJ7,Confidence(17),3.0,17,armchair
R_3jv8dkv5pkIe4f3,Confidence(17),3.0,17,armchair
R_9NNGTs03HOOrLhz,Confidence(17),3.0,17,armchair
R_9QAIH8o5XKYkAFD,Confidence(17),,17,armchair
R_8hQIw8oM3sZtlUV,Confidence(17),,17,armchair
R_dbuBKRXlnjouSRD,Confidence(17),5.0,17,armchair
R_81i04UQTtFxOXlz,Confidence(17),,17,armchair
R_aflUaQ1v901DTZb,Confidence(17),,17,armchair
